Id,wavelength,reflectance,direct_transmittance,diffuse_transmittance
280,1.4,18.31,0.0,13.5525
281,1.42,14.838,0.0,10.9824
282,1.44,14.324,0.0,10.6025
283,1.46,15.03,0.0,11.1251
284,1.48,16.805,0.0,12.4389
285,1.5,19.151,0.0,14.1747
286,1.52,21.738,0.0,16.0903
287,1.54,24.154,0.0,17.8779
288,1.56,26.352,0.0,19.5053
289,1.58,27.843,0.0,20.6091
290,1.6,29.591,0.0,21.9024
291,1.62,30.706,0.0,22.7278
292,1.64,31.375,0.0,23.2231
293,1.66,32.071,0.0,23.7378
294,1.68,32.517,0.0,24.068
295,1.7,32.19,0.0,23.8258
296,1.72,31.257,0.0,23.1351
297,1.74,30.998,0.0,22.9437
298,1.76,29.809,0.0,22.0636
299,1.78,29.803,0.0,22.0597
300,1.8,28.356,0.0,20.9881
301,1.82,24.809,0.0,18.3634
302,1.84,16.229,0.0,12.012
303,1.86,7.93,0.0,5.8697
304,1.88,5.385,0.0,3.9854
305,1.9,5.142,0.0,3.8057
306,1.92,5.548,0.0,4.1066
307,1.94,6.405,0.0,4.7405
308,1.96,7.412,0.0,5.4858
309,1.98,8.794,0.0,6.5096
310,2.0,9.911,0.0,7.336
311,2.02,11.064,0.0,8.1897
312,2.04,11.916,0.0,8.8198
313,2.06,12.837,0.0,9.5016
314,2.08,13.641,0.0,10.0965
315,2.1,14.458,0.0,10.7011
316,2.12,14.937,0.0,11.0557
317,2.14,15.518,0.0,11.4855
318,2.16,16.294,0.0,12.0599
319,2.18,16.861,0.0,12.4799
320,2.2,17.014,0.0,12.5932
321,2.22,16.479,0.0,12.1976
322,2.24,15.877,0.0,11.7522
323,2.26,15.921,0.0,11.7844
324,2.28,14.751,0.0,10.918
325,2.3,13.464,0.0,9.9656
326,2.32,12.174,0.0,9.0112
327,2.34,11.219,0.0,8.304
328,2.36,10.066,0.0,7.4502
329,2.38,9.152,0.0,6.7743
330,2.4,8.185,0.0,6.0583
331,2.42,7.142,0.0,5.2866
332,2.44,6.667,0.0,4.9349
333,2.46,5.795,0.0,4.2892
334,2.48,6.238,0.0,4.6175
335,2.5,5.851,0.0,4.3313
336,2.52,5.658,0.0,4.1876
337,2.54,5.464,0.0,4.0441
338,2.56,5.271,0.0,3.9014
339,2.58,5.078,0.0,3.7588
