Id,wavelength,reflectance,direct_transmittance,diffuse_transmittance
625,0.974,39.774,0.0,46.973
626,0.975,39.778,0.0,46.97
627,0.976,39.77,0.0,46.983
628,0.977,39.758,0.0,47.0
629,0.978,39.771,0.0,47.001
630,0.979,39.763,0.0,47.014
631,0.98,39.761,0.0,47.031
632,0.981,39.771,0.0,47.047
633,0.982,39.78,0.0,47.051
634,0.983,39.779,0.0,47.07
635,0.984,39.78,0.0,47.094
636,0.985,39.793,0.0,47.102
637,0.986,39.79,0.0,47.129
638,0.987,39.79,0.0,47.155
639,0.988,39.801,0.0,47.175
640,0.989,39.816,0.0,47.193
641,0.99,39.82,0.0,47.211
642,0.991,39.824,0.0,47.233
643,0.992,39.833,0.0,47.254
644,0.993,39.844,0.0,47.281
645,0.994,39.863,0.0,47.303
646,0.995,39.872,0.0,47.329
647,0.996,39.853,0.0,47.371
648,0.997,39.86,0.0,47.395
649,0.998,39.877,0.0,47.416
650,0.999,39.758,0.0,48.262
651,1.0,39.766,0.0,48.29
652,1.001,39.78,0.0,48.311
653,1.002,39.786,0.0,48.329
654,1.003,39.796,0.0,48.356
655,1.004,39.807,0.0,48.388
656,1.005,39.833,0.0,48.411
657,1.006,39.844,0.0,48.438
658,1.007,39.86,0.0,48.466
659,1.008,39.873,0.0,48.494
660,1.009,39.879,0.0,48.517
661,1.01,39.895,0.0,48.541
662,1.011,39.926,0.0,48.561
663,1.012,39.941,0.0,48.589
664,1.013,39.961,0.0,48.612
665,1.014,39.976,0.0,48.639
666,1.015,39.975,0.0,48.679
667,1.016,39.984,0.0,48.712
668,1.017,40.002,0.0,48.74
669,1.018,40.016,0.0,48.764
670,1.019,40.028,0.0,48.79
671,1.02,40.044,0.0,48.809
672,1.021,40.06,0.0,48.827
673,1.022,40.082,0.0,48.84
674,1.023,40.098,0.0,48.859
675,1.024,40.116,0.0,48.876
676,1.025,40.13,0.0,48.9
677,1.026,40.14,0.0,48.924
678,1.027,40.155,0.0,48.952
679,1.028,40.172,0.0,48.978
680,1.029,40.19,0.0,49.003
681,1.03,40.21,0.0,49.028
682,1.031,40.225,0.0,49.057
683,1.032,40.235,0.0,49.079
684,1.033,40.24,0.0,49.107
685,1.034,40.241,0.0,49.136
686,1.035,40.248,0.0,49.162
687,1.036,40.254,0.0,49.183
688,1.037,40.264,0.0,49.202
689,1.038,40.273,0.0,49.222
690,1.039,40.288,0.0,49.239
691,1.04,40.302,0.0,49.257
692,1.041,40.319,0.0,49.277
693,1.042,40.327,0.0,49.294
694,1.043,40.324,0.0,49.316
695,1.044,40.331,0.0,49.334
696,1.045,40.336,0.0,49.347
697,1.046,40.346,0.0,49.36
698,1.047,40.373,0.0,49.368
699,1.048,40.382,0.0,49.384
700,1.049,40.384,0.0,49.406
701,1.05,40.388,0.0,49.426
702,1.051,40.393,0.0,49.445
703,1.052,40.394,0.0,49.462
704,1.053,40.396,0.0,49.481
705,1.054,40.409,0.0,49.498
706,1.055,40.412,0.0,49.515
707,1.056,40.416,0.0,49.528
708,1.057,40.419,0.0,49.543
709,1.058,40.421,0.0,49.556
710,1.059,40.425,0.0,49.57
711,1.06,40.429,0.0,49.58
712,1.061,40.433,0.0,49.593
713,1.062,40.446,0.0,49.606
714,1.063,40.445,0.0,49.618
715,1.064,40.442,0.0,49.626
716,1.065,40.44,0.0,49.639
717,1.066,40.441,0.0,49.643
718,1.067,40.441,0.0,49.654
719,1.068,40.444,0.0,49.663
720,1.069,40.455,0.0,49.679
721,1.07,40.459,0.0,49.684
722,1.071,40.465,0.0,49.682
723,1.072,40.464,0.0,49.69
724,1.073,40.466,0.0,49.689
725,1.074,40.464,0.0,49.692
726,1.075,40.459,0.0,49.702
727,1.076,40.455,0.0,49.71
728,1.077,40.448,0.0,49.719
729,1.078,40.442,0.0,49.725
730,1.079,40.426,0.0,49.739
731,1.08,40.425,0.0,49.742
732,1.081,40.425,0.0,49.736
733,1.082,40.424,0.0,49.737
734,1.083,40.431,0.0,49.736
735,1.084,40.437,0.0,49.734
736,1.085,40.433,0.0,49.738
737,1.086,40.426,0.0,49.741
738,1.087,40.416,0.0,49.749
739,1.088,40.399,0.0,49.76
740,1.089,40.387,0.0,49.763
741,1.09,40.385,0.0,49.757
742,1.091,40.38,0.0,49.754
743,1.092,40.381,0.0,49.739
744,1.093,40.375,0.0,49.735
745,1.094,40.366,0.0,49.736
746,1.095,40.361,0.0,49.735
747,1.096,40.357,0.0,49.725
748,1.097,40.351,0.0,49.721
749,1.098,40.353,0.0,49.71
750,1.099,40.354,0.0,49.697
751,1.1,40.34,0.0,49.699
752,1.101,40.328,0.0,49.702
753,1.102,40.312,0.0,49.706
754,1.103,40.299,0.0,49.713
755,1.104,40.286,0.0,49.712
756,1.105,40.278,0.0,49.71
757,1.106,40.272,0.0,49.704
758,1.107,40.267,0.0,49.693
759,1.108,40.259,0.0,49.69
760,1.109,40.265,0.0,49.674
761,1.11,40.255,0.0,49.667
762,1.111,40.24,0.0,49.663
763,1.112,40.225,0.0,49.658
764,1.113,40.206,0.0,49.655
765,1.114,40.189,0.0,49.651
766,1.115,40.169,0.0,49.648
767,1.116,40.156,0.0,49.641
768,1.117,40.14,0.0,49.634
769,1.118,40.124,0.0,49.628
770,1.119,40.121,0.0,49.609
