Id,wavelength,irradiance
740,13.3511,0.0783157
741,13.3333,0.07875
742,13.3156,0.0791857
743,13.2979,0.0795664
744,13.2802,0.080005
745,13.2626,0.080445
746,13.245,0.0808295
747,13.2275,0.0812724
748,13.21,0.0817168
749,13.1926,0.0821052
750,13.1752,0.0825524
751,13.1579,0.0830011
752,13.1406,0.0834513
753,13.1234,0.083845
754,13.1062,0.0842981
755,13.089,0.0847527
756,13.0719,0.0851502
757,13.0548,0.0856077
758,13.0378,0.0860667
759,13.0208,0.0864682
760,13.0039,0.0869301
761,12.987,0.0873935
762,12.9702,0.0878584
763,12.9534,0.0882652
764,12.9366,0.0887331
765,12.9199,0.0892024
766,12.9032,0.0896733
767,12.8866,0.0901457
768,12.87,0.0906197
769,12.8535,0.0910952
770,12.837,0.0915723
771,12.8205,0.0919901
772,12.8041,0.0924701
773,12.7877,0.0929516
774,12.7714,0.0934348
775,12.7551,0.0939194
776,12.7389,0.094344
777,12.7226,0.0948317
778,12.7065,0.0953209
779,12.6904,0.0958117
780,12.6743,0.096304
781,12.6582,0.0967355
782,12.6422,0.0972308
783,12.6263,0.0977277
784,12.6103,0.0982262
785,12.5945,0.0987263
786,12.5786,0.0991647
787,12.5628,0.0996678
788,12.5471,0.100172
789,12.5313,0.100679
790,12.5156,0.101187
791,12.5,0.101696
792,12.4844,0.102207
793,12.4688,0.102655
794,12.4533,0.103169
795,12.4378,0.103685
796,12.4224,0.104202
797,12.4069,0.104721
798,12.3916,0.105242
799,12.3762,0.105764
800,12.3609,0.106222
801,12.3457,0.106747
802,12.3305,0.107274
803,12.3153,0.107803
804,12.3001,0.108333
805,12.285,0.108865
806,12.2699,0.109398
807,12.2549,0.109933
808,12.2399,0.110469
809,12.2249,0.111075
810,12.21,0.111615
811,12.1951,0.112156
812,12.1803,0.1127
813,12.1655,0.113245
814,12.1507,0.113791
815,12.1359,0.11434
816,12.1212,0.11489
817,12.1065,0.115441
818,12.0919,0.115994
819,12.0773,0.116549
820,12.0627,0.117106
821,12.0482,0.117664
822,12.0337,0.118224
823,12.0192,0.118786
824,12.0048,0.119349
825,11.9904,0.119914
826,11.976,0.12048
827,11.9617,0.121049
828,11.9474,0.121619
829,11.9332,0.12219
830,11.919,0.122764
831,11.9048,0.123339
832,11.8906,0.123916
833,11.8765,0.124494
834,11.8624,0.125074
835,11.8483,0.125656
836,11.8343,0.12624
837,11.8203,0.126825
838,11.8064,0.127412
839,11.7925,0.128001
840,11.7786,0.128663
841,11.7647,0.129255
842,11.7509,0.129849
843,11.7371,0.130445
844,11.7233,0.131042
845,11.7096,0.131642
846,11.6959,0.132242
847,11.6822,0.132845
848,11.6686,0.133523
849,11.655,0.134129
850,11.6414,0.134737
851,11.6279,0.135421
852,11.6144,0.136032
853,11.6009,0.136646
854,11.5875,0.137261
855,11.5741,0.137878
856,11.5607,0.138496
857,11.5473,0.139117
858,11.534,0.139814
859,11.5207,0.140438
860,11.5075,0.141064
861,11.4943,0.141692
862,11.4811,0.142321
863,11.4679,0.143028
864,11.4548,0.143661
865,11.4416,0.144296
866,11.4286,0.144933
867,11.4155,0.145571
868,11.4025,0.146211
869,11.3895,0.14693
870,11.3766,0.147574
871,11.3636,0.14822
872,11.3507,0.148868
873,11.3379,0.149517
874,11.325,0.150168
875,11.3122,0.150821
876,11.2994,0.151554
877,11.2867,0.152211
878,11.274,0.152948
879,11.2613,0.153608
880,11.2486,0.154271
881,11.236,0.155014
882,11.2233,0.15568
883,11.2108,0.156348
884,11.1982,0.157018
885,11.1857,0.157769
886,11.1732,0.158443
887,11.1607,0.159198
888,11.1483,0.159876
889,11.1359,0.160636
890,11.1235,0.161317
891,11.1111,0.162081
892,11.0988,0.162766
893,11.0865,0.163453
894,11.0742,0.164223
895,11.0619,0.164914
896,11.0497,0.165607
897,11.0375,0.166301
898,11.0254,0.16708
899,11.0132,0.167778
900,11.0011,0.168479
901,10.989,0.169264
902,10.9769,0.169968
903,10.9649,0.170674
904,10.9529,0.171465
905,10.9409,0.172175
906,10.929,0.172887
907,10.917,0.173685
908,10.9051,0.1744
909,10.8932,0.175202
910,10.8814,0.175922
911,10.8696,0.176728
912,10.8578,0.177452
913,10.846,0.178178
914,10.8342,0.17899
915,10.8225,0.17972
916,10.8108,0.180451
917,10.7991,0.18127
918,10.7875,0.182006
919,10.7759,0.182829
920,10.7643,0.183569
921,10.7527,0.184397
922,10.7411,0.185227
923,10.7296,0.185972
924,10.7181,0.186807
925,10.7066,0.187644
926,10.6952,0.188395
927,10.6838,0.189237
928,10.6724,0.189992
929,10.661,0.19075
930,10.6496,0.191598
931,10.6383,0.19236
932,10.627,0.193212
933,10.6157,0.193978
934,10.6045,0.194834
935,10.5932,0.195604
936,10.582,0.196466
937,10.5708,0.197239
938,10.5597,0.198105
939,10.5485,0.198883
940,10.5374,0.199753
941,10.5263,0.200536
942,10.5152,0.20132
943,10.5042,0.202196
944,10.4932,0.202985
945,10.4822,0.203866
946,10.4712,0.20475
947,10.4603,0.205636
948,10.4493,0.206432
949,10.4384,0.207323
950,10.4275,0.208124
951,10.4167,0.209019
952,10.4058,0.209916
953,10.395,0.210724
954,10.3842,0.211626
955,10.3734,0.212437
956,10.3627,0.213344
957,10.352,0.214253
958,10.3413,0.21507
959,10.3306,0.215984
960,10.3199,0.2169
961,10.3093,0.217818
962,10.2987,0.218645
963,10.2881,0.219568
964,10.2775,0.220493
965,10.2669,0.221326
966,10.2564,0.222256
967,10.2459,0.223093
968,10.2354,0.224028
969,10.2249,0.224965
970,10.2145,0.225905
971,10.2041,0.22675
972,10.1937,0.227695
973,10.1833,0.228545
974,10.1729,0.229494
975,10.1626,0.230445
976,10.1523,0.231399
977,10.142,0.232258
978,10.1317,0.233216
979,10.1215,0.234079
980,10.1112,0.235042
981,10.101,0.236008
982,10.0908,0.236878
983,10.0806,0.237848
984,10.0705,0.238821
985,10.0604,0.239796
986,10.0503,0.240774
987,10.0402,0.241655
988,10.0301,0.242638
989,10.02,0.243523
990,10.01,0.24451
991,10.0,0.2455
992,9.99001,0.246392
993,9.98004,0.247286
994,9.97009,0.248283
995,9.96016,0.249282
996,9.95025,0.250183
997,9.94036,0.251187
998,9.93049,0.252194
999,9.92063,0.253203
1000,9.9108,0.254215
1001,9.90099,0.255229
1002,9.8912,0.256246
1003,9.88142,0.257265
1004,9.87167,0.258184
1005,9.86193,0.259208
1006,9.85222,0.260235
1007,9.84252,0.261264
1008,9.83284,0.262192
1009,9.82318,0.263226
1010,9.81354,0.264159
1011,9.80392,0.265198
1012,9.79432,0.266239
1013,9.78474,0.267283
1014,9.77517,0.26833
1015,9.76562,0.269379
1016,9.7561,0.270431
1017,9.74659,0.27138
1018,9.7371,0.272437
1019,9.72763,0.273496
1020,9.71817,0.274557
1021,9.70874,0.275622
1022,9.69932,0.276795
1023,9.68992,0.277865
1024,9.68054,0.278937
1025,9.67118,0.280012
1026,9.66184,0.281089
1027,9.65251,0.28217
1028,9.6432,0.283252
1029,9.63391,0.284337
1030,9.62464,0.285317
1031,9.61538,0.286408
1032,9.60615,0.287501
1033,9.59693,0.288596
1034,9.58773,0.289694
1035,9.57854,0.290795
1036,9.56938,0.291898
1037,9.56023,0.293004
1038,9.5511,0.294113
1039,9.54198,0.295114
1040,9.53289,0.296228
1041,9.52381,0.297344
1042,9.51475,0.298463
1043,9.5057,0.299585
1044,9.49668,0.300709
1045,9.48767,0.301836
1046,9.47867,0.302965
1047,9.4697,0.304098
1048,9.46074,0.305232
1049,9.4518,0.306482
1050,9.44287,0.307622
1051,9.43396,0.308765
1052,9.42507,0.309911
1053,9.4162,0.311059
1054,9.40734,0.31221
1055,9.3985,0.313364
1056,9.38967,0.314521
1057,9.38086,0.31568
1058,9.37207,0.316841
1059,9.3633,0.318006
1060,9.35454,0.319173
1061,9.34579,0.320343
1062,9.33707,0.321516
1063,9.32836,0.322806
1064,9.31966,0.323984
1065,9.31099,0.325165
1066,9.30233,0.326349
1067,9.29368,0.327535
1068,9.28505,0.328724
1069,9.27644,0.329916
1070,9.26784,0.33111
1071,9.25926,0.332307
1072,9.25069,0.333507
1073,9.24214,0.334827
1074,9.23361,0.336033
1075,9.22509,0.337241
1076,9.21659,0.338452
1077,9.2081,0.339666
1078,9.19963,0.340883
1079,9.19118,0.342102
1080,9.18274,0.343324
1081,9.17431,0.344549
1082,9.1659,0.345777
1083,9.15751,0.346888
1084,9.14913,0.348121
1085,9.14077,0.349356
1086,9.13242,0.350595
1087,9.12409,0.351956
1088,9.11577,0.353321
